OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-4581,2022-101BB,2026-03-26T10:04:14.871648,15.08846075,.0001256,53.2186,338.8166,79.6181,280.4952,0,U,53576,999,19979,.15546E-3,.2187E-4,0
STARLINK-4553,2022-101BC,2026-03-26T09:57:33.739776,15.08842722,.0001328,53.2184,338.7896,91.4818,268.6326,0,U,53577,999,19979,-.15967E-4,-.542E-5,0
STARLINK-4556,2022-101BD,2026-03-26T09:41:39.335136,15.08836204,.0001514,53.2205,338.7260,102.6717,257.4444,0,U,53578,999,19897,.1406E-4,-.64E-6,0
STARLINK-4580,2022-101BE,2026-03-26T09:36:20.297088,15.08843856,.0001537,53.2183,338.6991,85.6544,274.4624,0,U,53579,999,19897,.16442E-4,-.26E-6,0
CHUANGXIN 16A (CX-16A),2022-102A,2026-03-26T12:54:44.269632,15.05626774,.000477,28.9943,146.8467,216.2629,143.7647,0,U,53586,999,19705,.13567E-3,.2163E-4,0
BEIJING-3B,2022-103A,2026-03-26T12:30:16.197120,14.86985425,.0024036,97.8042,164.3701,328.8640,31.1150,0,U,53587,999,19480,.14743E-3,.1271E-4,0
STARLINK-4691,2022-104A,2026-03-26T12:43:15.463776,15.08840026,.0001357,53.2160,168.7704,93.8776,266.2372,0,U,53588,999,19863,.14406E-4,-.59E-6,0
STARLINK-4673,2022-104B,2026-03-26T09:05:57.258816,15.08867283,.0001544,53.2177,169.2480,99.8647,260.2519,0,U,53589,999,19846,-.27732E-3,-.4702E-4,0
STARLINK-4689,2022-104C,2026-03-26T09:27:11.751264,15.08829380,.0001052,53.2161,169.3403,74.2612,285.8496,0,U,53590,999,19848,-.1441E-3,-.258E-4,0
STARLINK-4674,2022-104D,2026-03-26T09:21:51.877728,15.08840521,.0001271,53.2173,169.3199,90.7368,269.3770,0,U,53591,999,19848,.77985E-4,.953E-5,0
STARLINK-4672,2022-104E,2026-03-26T09:17:56.926752,15.08838615,.0001271,53.2164,169.3026,90.0523,270.0615,0,U,53592,999,19846,.54619E-4,.581E-5,0
STARLINK-4681,2022-104G,2026-03-26T12:00:01.999296,15.24002590,.0000749,53.2182,167.8687,51.7570,320.8471,0,U,53594,999,582,.23541E-2,.57879E-3,0
STARLINK-4684,2022-104H,2026-03-26T12:11:26.535264,15.08830000,.0001564,53.2156,168.6328,73.1475,286.9689,0,U,53595,999,19848,.14346E-3,.1995E-4,0
STARLINK-4676,2022-104L,2026-03-26T11:34:16.114944,15.08849153,.0001452,53.2150,168.4762,89.4562,270.6597,0,U,53598,999,19815,.10023E-3,.1308E-4,0
STARLINK-4677,2022-104N,2026-03-26T09:55:04.922688,15.08844314,.0001457,53.2166,169.4497,88.7237,271.3922,0,U,53600,999,19813,.59222E-4,.655E-5,0
STARLINK-4675,2022-104P,2026-03-26T11:50:11.875200,15.08838821,.0001582,53.2113,168.5427,88.3770,271.7403,0,U,53601,999,19815,.20926E-3,.3044E-4,0
STARLINK-4648,2022-104Q,2026-03-26T11:58:49.324800,15.08841324,.0001559,53.2189,163.5985,92.3451,267.7720,0,U,53602,999,19822,.13904E-4,-.67E-6,0
STARLINK-4692,2022-104R,2026-03-26T09:19:53.203872,15.08837830,.0001402,53.2163,164.3299,90.0824,270.0329,0,U,53603,999,19820,.51193E-4,.527E-5,0
STARLINK-4690,2022-104S,2026-03-26T11:48:12.307968,15.08844173,.000146,53.2183,163.5509,91.2500,268.8660,0,U,53604,999,19822,.3153E-4,.214E-5,0
STARLINK-4693,2022-104T,2026-03-26T12:00:01.999296,15.22951803,.0001766,53.2168,167.6601,63.6334,56.1349,0,U,53605,999,583,.15061E-2,.3566E-3,0
STARLINK-4590,2022-104U,2026-03-26T09:12:35.271648,15.08844514,.0001545,53.2202,159.2942,99.5824,260.5343,0,U,53606,999,19815,.52557E-4,.549E-5,0
STARLINK-4591,2022-104V,2026-03-26T09:03:57.552480,15.08836573,.0001138,53.2174,164.2582,91.8207,268.2915,0,U,53607,999,19820,.80539E-4,.994E-5,0
STARLINK-4647,2022-104W,2026-03-26T10:58:35.173056,15.08847977,.0001311,53.2162,159.0408,85.7153,274.3989,0,U,53608,999,19816,.77723E-4,.95E-5,0
STARLINK-4660,2022-104X,2026-03-26T11:26:59.097696,15.08840612,.0001481,53.2132,163.4590,106.9310,253.1845,0,U,53609,999,19822,.3073E-3,.4606E-4,0
STARLINK-4610,2022-104Y,2026-03-26T09:13:57.880416,15.08844062,.0001361,53.2173,159.2992,89.2546,270.8602,0,U,53610,999,19815,.31811E-4,.218E-5,0
STARLINK-4658,2022-104AA,2026-03-26T09:07:16.866048,15.08850896,.0001693,53.2167,159.2691,97.7444,262.3741,0,U,53612,999,19815,-.47223E-4,-.104E-4,0
STARLINK-4655,2022-104AB,2026-03-26T09:17:53.880288,15.08848106,.0001249,53.2183,159.3158,84.5638,275.5496,0,U,53613,999,19815,.63021E-4,.715E-5,0
STARLINK-4605,2022-104AE,2026-03-26T10:38:39.295104,15.08849947,.0001454,53.2154,148.7862,90.6949,269.4210,0,U,53616,999,19841,.11295E-3,.151E-4,0
STARLINK-4609,2022-104AH,2026-03-26T08:56:39.557184,15.08830583,.0001899,53.2166,159.2232,28.1594,331.9500,0,U,53619,999,19815,.62823E-4,.712E-5,0
STARLINK-4615,2022-104AJ,2026-03-26T11:46:12.440928,15.08843178,.0001277,53.2174,158.5361,90.3885,269.7254,0,U,53620,999,19828,.75501E-4,.914E-5,0
STARLINK-4608,2022-104AK,2026-03-26T12:02:08.101824,15.08827284,.0001285,53.2174,158.6036,78.9255,281.1881,0,U,53621,999,19817,-.12591E-3,-.229E-4,0
STARLINK-4568,2022-104AL,2026-03-26T11:14:24.245088,15.08815610,.00012,53.2158,158.4040,94.8898,265.2231,0,U,53622,999,19828,-.38564E-3,-.6416E-4,0
STARLINK-4573,2022-104AM,2026-03-26T11:51:31.196448,15.08849767,.0000576,53.2191,158.5596,65.9440,294.1612,0,U,53623,999,19828,.23009E-4,.79E-6,0
STARLINK-4596,2022-104AN,2026-03-26T11:35:35.780064,15.08845803,.0001544,53.2154,158.4888,90.1456,269.9713,0,U,53624,999,19828,-.10755E-5,-.305E-5,0
STARLINK-4554,2022-104AQ,2026-03-26T11:19:41.529216,15.08845357,.0001454,53.2184,158.4226,90.4707,269.6452,0,U,53626,999,19829,.72374E-4,.864E-5,0
STARLINK-4595,2022-104AR,2026-03-26T09:54:54.779328,15.08846465,.0001429,53.2171,158.7631,85.6702,274.4454,0,U,53627,999,19828,.17114E-4,-.16E-6,0
STARLINK-4600,2022-104AS,2026-03-26T11:09:04.014720,15.08845945,.0001086,53.2153,158.3779,89.9541,270.1576,0,U,53628,999,19829,.72922E-4,.873E-5,0
STARLINK-4602,2022-104AT,2026-03-26T11:24:59.103648,15.08849911,.0001403,53.2134,158.4446,86.3652,273.7501,0,U,53629,999,19829,.82635E-4,.1028E-4,0
STARLINK-4598,2022-104AU,2026-03-26T10:40:03.825408,15.08836107,.0001293,53.2166,148.9798,82.9030,277.2109,0,U,53630,999,19859,.10598E-3,.1399E-4,0
STARLINK-4599,2022-104AV,2026-03-26T11:03:45.914976,15.08847538,.0001337,53.2157,158.3576,86.6949,273.4196,0,U,53631,999,19829,-.18493E-3,-.323E-4,0
STARLINK-4606,2022-104AW,2026-03-26T10:28:04.561824,15.08834720,.0001105,53.2147,148.9285,93.0828,267.0290,0,U,53632,999,19875,-.18627E-3,-.3251E-4,0
STARLINK-4593,2022-104AX,2026-03-26T08:57:59.327712,15.08849955,.0001164,53.2165,149.2491,81.6362,278.4762,0,U,53633,999,19841,.61904E-4,.698E-5,0
STARLINK-4592,2022-104AY,2026-03-26T10:17:27.601152,15.08844207,.0001144,53.2142,148.8830,85.1597,274.9525,0,U,53634,999,19875,-.18358E-4,-.58E-5,0
STARLINK-4586,2022-104BA,2026-03-26T10:06:55.167840,15.08870154,.0001727,53.2172,148.8346,50.9229,309.1916,0,U,53636,999,19875,.13464E-2,.21223E-3,0
STARLINK-4396,2022-104BB,2026-03-26T10:55:58.727712,15.08847287,.000131,53.2169,149.0389,91.0508,269.0634,0,U,53637,999,19875,.97097E-4,.1258E-4,0
STARLINK-4594,2022-104BC,2026-03-26T11:15:42.710112,15.08843399,.0001302,53.2179,148.4260,84.2050,275.9091,0,U,53638,999,19876,-.50481E-4,-.1091E-4,0
STARLINK-4422,2022-104BD,2026-03-26T10:01:32.628000,15.08844877,.000124,53.2163,148.8141,92.8144,267.2990,0,U,53639,999,19858,.11558E-3,.1552E-4,0
STARLINK-4597,2022-104BE,2026-03-26T09:56:14.685504,15.08844095,.0001292,53.2164,148.7907,89.2887,270.8253,0,U,53640,999,19875,-.18483E-5,-.317E-5,0
STARLINK-4588,2022-104BF,2026-03-26T11:47:32.600256,15.08846887,.0001396,53.2164,148.5586,86.7922,273.3230,0,U,53641,999,19876,.50269E-4,.512E-5,0
STARLINK-4622,2022-105A,2026-03-25T22:40:36.283296,15.05649041,.000216,97.6040,326.1826,92.0851,268.0623,0,U,53648,999,19568,.27579E-4,.337E-5,0
STARLINK-4386,2022-105B,2026-03-26T12:00:01.999296,15.11020486,.0002126,97.6033,327.8895,86.7812,265.5438,0,U,53649,999,581,.23178E-2,.38847E-3,0
STARLINK-4380,2022-105C,2026-03-26T09:54:25.576128,15.05684234,.0000355,97.6040,326.6289,189.8928,170.2292,0,U,53650,999,19574,.32947E-3,.4701E-4,0
STARLINK-4388,2022-105D,2026-03-26T12:00:01.999296,15.10209969,.0001986,97.6037,327.8339,84.6300,157.9215,0,U,53651,999,571,.29842E-2,.49E-3,0
STARLINK-4374,2022-105E,2026-03-26T12:00:01.999296,15.04808953,.0001674,97.6037,326.6769,88.5456,311.3440,0,U,53652,999,574,.30585E-2,.43353E-3,0
STARLINK-4390,2022-105F,2026-03-26T12:00:01.999296,15.08356055,.0001913,97.6042,326.6991,79.8946,22.1096,0,U,53653,999,569,.14087E-1,.22564E-2,0
STARLINK-4420,2022-105G,2026-03-26T10:04:24.329856,15.05648015,.0002248,97.6047,327.6673,79.6717,280.4763,0,U,53654,999,19581,.11072E-4,.99E-6,0
STARLINK-4470,2022-105H,2026-03-26T12:00:01.999296,15.10207209,.0001943,97.6046,327.7636,87.6752,10.4275,0,U,53655,999,577,.28613E-2,.46962E-3,0
STARLINK-4466,2022-105J,2026-03-26T09:42:31.827456,15.05645035,.000215,97.6039,326.6137,90.6441,269.5032,0,U,53656,999,19574,-.77293E-5,-.172E-5,0
STARLINK-4469,2022-105K,2026-03-26T12:33:15.869376,16.06699306,.0002885,97.6278,353.4467,84.8632,275.2978,0,U,53657,999,19738,.72034E-3,.541229E-2,.14508E-3
STARLINK-4452,2022-105L,2026-03-26T05:53:12.320736,15.05649347,.0002935,97.6030,327.5826,78.0990,282.0565,0,U,53658,999,19579,-.34932E-4,-.565E-5,0
STARLINK-4473,2022-105N,2026-03-26T06:17:23.978112,15.04838579,.0002788,97.6036,326.4829,85.2287,274.9258,0,U,53660,999,19572,.16054E-4,.166E-5,0
STARLINK-4472,2022-105P,2026-03-26T10:06:23.212800,15.01411937,.0001953,97.6061,326.5893,93.1739,266.9709,0,U,53661,999,19574,.16009E-2,.20647E-3,0
STARLINK-4357,2022-105Q,2026-03-26T10:00:25.020000,15.05648486,.0002781,97.6044,327.6343,86.4203,273.7342,0,U,53662,999,19581,.16811E-4,.182E-5,0
STARLINK-4457,2022-105R,2026-03-26T05:49:13.092960,15.05647161,.0002426,97.6032,327.5776,84.8774,275.2730,0,U,53663,999,19579,-.38463E-4,-.616E-5,0
STARLINK-4471,2022-105S,2026-03-26T09:44:28.154688,15.05644627,.0002167,97.6033,327.6515,87.3257,272.8218,0,U,53664,999,19581,.82843E-4,.1135E-4,0
STARLINK-4334,2022-105T,2026-03-26T09:53:42.946368,15.11047557,.0002064,97.6042,327.8046,86.9134,273.2332,0,U,53665,999,19582,.40643E-4,.615E-5,0
STARLINK-4406,2022-105V,2026-03-26T09:13:41.466144,15.11037774,.0001592,97.6035,327.8392,72.9806,287.1597,0,U,53667,999,19582,.94862E-5,.94E-6,0
STARLINK-4458,2022-105W,2026-03-26T12:00:01.999296,15.14789178,.0002582,97.6028,327.7993,95.7405,276.5408,0,U,53668,999,581,.36439E-2,.68153E-3,0
STARLINK-4464,2022-105X,2026-03-26T12:00:01.999296,15.08052421,.0001284,97.5993,326.7214,94.0505,162.8777,0,U,53669,999,575,.413E-2,.64093E-3,0
STARLINK-4459,2022-105Y,2026-03-26T10:20:21.821568,15.05649458,.0001891,97.6066,327.7536,86.9735,273.1708,0,U,53670,999,19582,-.44207E-5,-.125E-5,0
STARLINK-4440,2022-105Z,2026-03-26T09:45:16.472160,15.01263283,.0003396,97.6025,326.5832,59.9225,300.2336,0,U,53671,999,19574,.41902E-4,.48E-5,0
STARLINK-4428,2022-105AA,2026-03-26T12:00:01.999296,15.04812167,.000185,97.6031,326.6979,82.7338,167.3983,0,U,53672,999,580,.32655E-2,.46315E-3,0
STARLINK-4456,2022-105AB,2026-03-26T09:36:29.712960,15.05651120,.0002206,97.6037,327.6973,88.2478,271.9002,0,U,53673,999,19581,.30464E-4,.379E-5,0
STARLINK-4620,2022-105AC,2026-03-26T12:00:01.999296,15.05620912,.0002125,97.6032,326.6852,86.0230,131.4168,0,U,53674,999,575,.26416E-2,.38231E-3,0
STARLINK-4617,2022-105AD,2026-03-26T09:52:27.311808,15.05647033,.0002098,97.6038,327.7641,87.5656,272.5811,0,U,53675,999,19582,.43502E-4,.567E-5,0
STARLINK-4621,2022-105AE,2026-03-26T05:47:17.507040,15.05609839,.000249,97.6048,326.4617,88.4049,271.7463,0,U,53676,999,19572,.27554E-3,.3913E-4,0
STARLINK-4579,2022-105AF,2026-03-26T05:41:14.259840,15.05648971,.0002285,97.6039,327.5422,83.3703,276.7784,0,U,53677,999,19579,-.10042E-4,-.206E-5,0
STARLINK-4632,2022-105AH,2026-03-26T09:40:29.867808,15.05645396,.0002744,97.6035,327.7738,74.8557,285.2973,0,U,53679,999,19582,-.82277E-5,-.18E-5,0
STARLINK-4630,2022-105AJ,2026-03-26T05:37:14.813472,15.05653229,.0002284,97.6051,327.5194,96.9123,263.2364,0,U,53680,999,19579,.77242E-4,.1054E-4,0
STARLINK-4424,2022-105AK,2026-03-26T12:00:01.999296,15.10200885,.0001853,97.6041,326.7850,84.2014,55.0751,0,U,53681,999,580,.2407E-2,.39447E-3,0
STARLINK-4438,2022-105AL,2026-03-26T06:05:08.880000,15.05649507,.0001912,97.6019,327.4874,75.6636,284.4803,0,U,53682,999,19579,.11694E-4,.108E-5,0
STARLINK-4625,2022-105AM,2026-03-26T12:00:01.999296,15.05628680,.000168,97.6025,326.7268,87.5447,279.8617,0,U,53683,999,569,.28164E-2,.40788E-3,0
STARLINK-4624,2022-105AN,2026-03-26T09:52:56.228160,15.01260822,.0004143,97.6024,326.6492,61.2802,298.8838,0,U,53684,999,19572,.33112E-4,.367E-5,0
STARLINK-4626,2022-105AP,2026-03-26T09:18:36.916128,15.01259319,.0002007,97.6025,326.5533,73.1881,286.9563,0,U,53685,999,19574,.25484E-4,.269E-5,0
STARLINK-4467,2022-105AQ,2026-03-26T10:14:14.498016,15.01265581,.0002189,97.6045,326.6456,122.7310,237.4126,0,U,53686,999,19575,.13371E-3,.166E-4,0
STARLINK-4569,2022-105AR,2026-03-26T09:12:34.221024,15.05640266,.0002475,97.6027,327.6217,81.2544,278.8963,0,U,53687,999,19581,.45699E-4,.598E-5,0
STARLINK-4571,2022-105AS,2026-03-26T12:00:01.999296,15.03694853,.0001296,97.6020,326.6574,25.0338,261.0334,0,U,53688,999,580,.49396E-2,.68247E-3,0
STARLINK-4570,2022-105AU,2026-03-26T10:30:22.557312,15.05646985,.0001685,97.6018,326.6291,82.5420,277.5998,0,U,53690,999,19575,.1777E-4,.196E-5,0
STARLINK-4560,2022-105AV,2026-03-26T10:12:23.643360,15.05654905,.0002374,97.6055,327.7012,104.6634,255.4856,0,U,53691,999,19582,-.61827E-4,-.953E-5,0
STARLINK-4572,2022-105AW,2026-03-26T05:56:06.720000,15.21700479,.0000906,97.6169,332.4035,64.5035,295.6294,0,U,53692,999,19607,.22814E-3,.5091E-4,0
STARLINK-4566,2022-105AX,2026-03-26T09:08:35.652480,15.05647082,.0002562,97.6030,327.7523,82.1903,277.9614,0,U,53693,999,19582,-.12004E-4,-.234E-5,0
YAOGAN-33 02,2022-106A,2026-03-26T12:56:58.217280,14.58693823,.0003083,98.1850,94.6331,70.8959,289.2574,0,U,53698,999,18967,.46189E-4,.17E-5,0
STARLINK-4725,2022-107A,2026-03-26T09:53:35.356128,15.08836773,.0001258,53.2163,168.6782,81.7193,278.3942,0,U,53700,999,19738,.16595E-3,.2354E-4,0
STARLINK-4711,2022-107B,2026-03-26T09:48:15.708096,15.08837945,.0001399,53.2168,168.6569,95.0591,265.0561,0,U,53701,999,19738,.95635E-4,.1234E-4,0
STARLINK-4724,2022-107C,2026-03-26T08:49:20.735904,15.08840957,.0002071,53.2158,154.1498,85.4944,274.6284,0,U,53702,999,19761,-.24377E-3,-.4166E-4,0
STARLINK-4731,2022-107D,2026-03-26T11:44:52.509696,15.08845312,.0001809,53.2135,168.4469,91.3214,268.7985,0,U,53703,999,19739,.30865E-4,.203E-5,0
STARLINK-4714,2022-107E,2026-03-26T09:43:05.213280,15.08837681,.000132,53.2177,169.3402,89.3756,270.7387,0,U,53704,999,19721,.64373E-4,.737E-5,0
STARLINK-4717,2022-107F,2026-03-26T12:48:33.039072,15.08846437,.0001481,53.2177,168.7229,102.9598,257.1559,0,U,53705,999,19739,.83064E-4,.1034E-4,0
STARLINK-4716,2022-107G,2026-03-26T09:16:32.740320,15.08845043,.0001413,53.2163,169.2270,89.8883,270.2271,0,U,53706,999,19737,.1413E-3,.1962E-4,0
STARLINK-4667,2022-107H,2026-03-26T10:40:39.976032,15.08838493,.000136,53.2155,153.9189,92.5162,267.5986,0,U,53707,999,19759,.10514E-3,.1386E-4,0
STARLINK-4694,2022-107J,2026-03-26T10:19:26.424480,15.08837973,.0001046,53.2168,153.8361,88.5134,271.5978,0,U,53708,999,19759,.13986E-3,.1939E-4,0
STARLINK-4685,2022-107K,2026-03-26T10:00:52.858080,15.08824528,.0001466,53.2144,173.7230,97.0369,263.0790,0,U,53709,999,19700,.12553E-3,.171E-4,0
STARLINK-4627,2022-107M,2026-03-26T10:16:47.267040,15.08849883,.0001509,53.2166,173.7826,87.0339,273.0826,0,U,53711,999,19700,.17568E-3,.251E-4,0
STARLINK-4683,2022-107N,2026-03-26T12:50:25.603584,15.08831344,.0001325,53.2182,173.0437,84.3773,275.7371,0,U,53712,999,19704,-.10794E-3,-.2005E-4,0
STARLINK-4686,2022-107R,2026-03-26T10:08:09.470112,15.08840961,.0001388,53.2174,178.7226,91.2646,268.8505,0,U,53715,999,19694,.91293E-4,.1165E-4,0
STARLINK-4699,2022-107S,2026-03-26T05:16:41.926944,15.08837125,.00014033,53.2161,179.5915,90.9353,269.1800,0,U,53716,999,19690,.33983382E-4,.253E-5,0
STARLINK-4695,2022-107U,2026-03-26T12:59:12.594336,15.08836295,.0001391,53.2177,178.7357,93.8305,266.2846,0,U,53718,999,19694,.12004E-3,.1623E-4,0
STARLINK-4644,2022-107V,2026-03-26T11:26:18.942432,15.08844144,.000145,53.2183,148.3865,87.5766,272.5392,0,U,53719,999,19737,.21418E-4,.53E-6,0
STARLINK-4642,2022-107W,2026-03-26T10:13:28.656768,15.08803303,.0001806,53.2188,178.7474,91.1224,268.9975,0,U,53720,999,19694,.58371E-3,.9005E-4,0
STARLINK-4707,2022-107X,2026-03-26T10:24:04.591872,15.08841164,.0001359,53.2156,178.7922,86.6434,273.4714,0,U,53721,999,19694,.11588E-3,.1557E-4,0
STARLINK-4700,2022-107Y,2026-03-25T23:26:59.890848,15.08831144,.00014309,53.2167,180.9145,82.3729,277.7425,0,U,53722,999,19686,.20924413E-3,.3043E-4,0
STARLINK-4705,2022-107Z,2026-03-26T09:57:32.485248,15.08843009,.0001215,53.2145,178.6813,89.2656,270.8475,0,U,53723,999,19708,.12838E-3,.1756E-4,0
STARLINK-4663,2022-107AA,2026-03-26T10:18:47.481408,15.08842411,.0001304,53.2173,178.7697,85.1450,274.9691,0,U,53724,999,19694,.54393E-4,.578E-5,0
STARLINK-4697,2022-107AC,2026-03-25T23:21:38.149344,15.08876801,.00010783,53.2171,180.8966,71.9272,288.1838,0,U,53726,999,19687,.34104521E-3,.5149E-4,0
STARLINK-4701,2022-107AD,2026-03-26T05:59:08.191968,15.08840191,.0001416,53.2144,179.7747,87.9830,272.1324,0,U,53727,999,19705,.93408E-4,.1199E-4,0
STARLINK-4640,2022-107AE,2026-03-25T23:32:17.909376,15.08844426,.00013439,53.2142,180.9414,88.1917,271.9229,0,U,53728,999,19701,.32309969E-3,.4859E-4,0
STARLINK-4651,2022-107AF,2026-03-26T06:15:03.366432,15.08835909,.0000928,53.2169,179.8431,73.5523,286.5571,0,U,53729,999,19708,.92258E-4,.1181E-4,0
STARLINK-4641,2022-107AG,2026-03-26T06:04:26.908608,15.08843012,.0001353,53.2148,179.7958,88.1405,271.9742,0,U,53730,999,19705,.29687E-4,.185E-5,0
STARLINK-4636,2022-107AH,2026-03-26T10:06:22.962240,15.12412236,.0003466,53.2145,178.0180,204.5606,155.5223,0,U,53731,999,19712,.21754E-3,.3525E-4,0
STARLINK-4661,2022-107AJ,2026-03-26T06:11:07.702656,15.08837053,.0000718,53.2159,179.8245,91.7345,268.3730,0,U,53732,999,19705,.10928E-3,.1452E-4,0
STARLINK-4574,2022-107AK,2026-03-26T12:52:31.046880,15.08845745,.0001445,53.2166,178.7204,97.6519,262.4637,0,U,53733,999,19712,.92827E-5,-.14E-5,0
STARLINK-4616,2022-107AL,2026-03-25T23:48:13.311072,15.08844652,.00019678,53.2158,181.0108,80.7970,279.3244,0,U,53734,999,19704,.3686781E-4,.299E-5,0
STARLINK-4618,2022-107AM,2026-03-26T10:22:45.014880,15.08843006,.0001283,53.2189,188.7704,104.9890,255.1244,0,U,53735,999,19697,-.19328E-4,-.596E-5,0
STARLINK-4652,2022-107AN,2026-03-26T12:47:13.306560,15.08841629,.0001579,53.2195,178.6975,94.5449,265.5724,0,U,53736,999,19712,.36727E-4,.297E-5,0
STARLINK-4662,2022-107AQ,2026-03-26T10:17:25.990656,15.08836937,.0001343,53.2171,188.7487,95.0391,265.0754,0,U,53738,999,19697,.99259E-4,.1292E-4,0
STARLINK-4607,2022-107AS,2026-03-25T13:53:20.935392,15.08847248,.0001302,53.2115,192.6836,82.8075,277.3065,0,U,53740,999,19699,.23098E-4,.8E-6,0
STARLINK-4637,2022-107AU,2026-03-26T07:27:54.169632,15.08839440,.0001721,53.2211,189.4377,89.2585,270.8604,0,U,53742,999,19710,.96175E-5,-.135E-5,0
STARLINK-4645,2022-107AV,2026-03-26T06:13:43.704768,15.08836074,.0001181,53.2168,189.8255,85.2246,274.8881,0,U,53743,999,19709,.99363E-4,.1294E-4,0
STARLINK-4670,2022-107AW,2026-03-26T00:23:54.804192,15.08846330,.00010012,53.2182,190.4489,87.1689,272.9417,0,U,53744,999,19706,.44743275E-4,.425E-5,0
STARLINK-4656,2022-107AX,2026-03-26T06:19:02.373024,15.08835423,.0001182,53.2188,189.8488,86.7550,273.3578,0,U,53745,999,19709,.44152E-4,.415E-5,0
STARLINK-4589,2022-107AY,2026-03-26T07:43:48.787680,15.08841933,.0001385,53.2154,189.5057,94.0255,266.0895,0,U,53746,999,19710,.86344E-4,.1087E-4,0
STARLINK-4612,2022-107BC,2026-03-26T06:29:39.503904,15.08838058,.0001381,53.2167,189.8933,90.3669,269.7481,0,U,53750,999,19710,.19532E-3,.2822E-4,0
SHERPA-LTC2,2022-107BG,2026-03-25T15:27:45.128448,14.68651865,.0398555,53.2341,213.7346,352.8836,6.6581,0,U,53754,999,19026,.209E-3,.3923E-4,0
CENTISPACE-1 S3,2022-108A,2026-03-26T10:35:31.540992,14.61152241,.0010656,53.5338,37.3944,119.5461,240.6577,0,U,53757,999,18943,.1478E-3,.544E-5,0
CENTISPACE-1 S4,2022-108B,2026-03-26T07:50:37.591008,14.61806671,.0010314,53.5314,35.7724,107.8155,252.3946,0,U,53758,999,18944,.18263E-3,.729E-5,0
YAOGAN-35 05A,2022-109A,2026-03-26T04:53:22.921728,15.23019279,.0007077,35.0058,140.7630,313.5272,46.4854,0,U,53760,999,19795,.7158164E-5,.135E-5,0
YAOGAN-35 05B,2022-109B,2026-03-26T12:54:13.197600,15.35335395,.0006592,34.9782,120.4143,150.0598,210.0498,0,U,53761,999,19814,.44103E-3,.15547E-3,0
YAOGAN-35 05C,2022-109D,2026-03-26T12:05:55.313952,15.22280052,.0003828,34.9906,156.9719,234.4326,125.6032,0,U,53763,999,19776,.37287E-3,.8768E-4,0
EUTELSAT KONNECT VHTS,2022-110A,2026-03-26T09:05:38.876352,1.00270443,.0002998,0.0590,103.0864,231.4560,348.3663,0,U,53765,999,600,0,.1E-7,0
STARLINK-4718,2022-111A,2026-03-26T08:39:26.008416,15.08832660,.0001409,53.2155,209.2059,90.0599,270.0554,0,U,53773,999,19636,.50368E-4,.514E-5,0
STARLINK-4719,2022-111B,2026-03-26T08:34:07.257216,15.08835143,.0001208,53.2138,209.1816,107.6888,252.4236,0,U,53774,999,19622,.27628E-4,.152E-5,0
STARLINK-4722,2022-111C,2026-03-25T14:13:17.120928,15.08874349,.0001818,53.2150,202.9646,81.4247,278.6951,0,U,53775,999,19609,-.504E-3,-.8308E-4,0
STARLINK-4664,2022-111E,2026-03-26T12:18:05.037984,15.08833253,.0001154,53.2172,198.7550,89.0756,271.0369,0,U,53777,999,19623,.81318E-4,.1006E-4,0
STARLINK-4709,2022-111F,2026-03-25T17:52:26.438016,15.08850458,.0001199,53.2175,206.7746,94.9435,265.1694,0,U,53778,999,19605,-.10734966E-3,-.1996E-4,0
STARLINK-4706,2022-111G,2026-03-26T01:05:03.681600,15.08845647,.00014069,53.2212,200.8141,79.0668,281.0482,0,U,53779,999,19616,.40159901E-4,.351E-5,0
STARLINK-4678,2022-111H,2026-03-25T17:18:44.641728,15.08841158,.00014784,53.2089,202.3472,88.0483,272.0679,0,U,53780,999,19611,.35088463E-4,.271E-5,0
STARLINK-4462,2022-111J,2026-03-26T07:10:41.126304,15.08845094,.0001283,53.2159,199.5564,89.0948,271.0191,0,U,53781,999,19620,.24683E-4,.105E-5,0
STARLINK-4679,2022-111K,2026-03-26T12:00:01.999296,15.21266319,.0001094,53.2174,198.0947,65.8958,237.5495,0,U,53782,999,572,.31383E-3,.6782E-4,0
STARLINK-4536,2022-111L,2026-03-26T07:00:04.969152,15.08836977,.0001342,53.2179,199.5101,85.4854,274.6292,0,U,53783,999,19620,.96684E-5,-.134E-5,0
STARLINK-4687,2022-111M,2026-03-26T07:15:59.437728,15.08840212,.000143,53.2158,199.5783,85.8944,274.2211,0,U,53784,999,19620,.87517E-4,.1105E-4,0
STARLINK-4743,2022-111Q,2026-03-26T06:49:27.705216,15.08841296,.0001572,53.2176,199.4673,99.3747,260.7423,0,U,53787,999,19620,.21364E-4,.52E-6,0
STARLINK-4666,2022-111S,2026-03-25T17:50:27.295872,15.08852451,.00012488,53.2168,201.7774,84.9460,275.1674,0,U,53789,999,19611,.71998904E-3,.11193E-3,0
