Transaction_ID,Sale_Date,Shoe_Model,Colorway,Condition,Retail_Price_USD,Resale_Price_USD,Sales_Channel,Days_in_Inventory,Profit_Margin_USD
TRX-100827,2025-02-05,Air Jordan 11 Retro,Military Blue,VNDS (Very Near Deadstock),225,310.34,StockX,13,85.33999999999997
TRX-100828,2023-05-09,Air Jordan 11 Retro,Pine Green,Used,228,188.09,StockX,6,-39.91
TRX-100829,2024-10-06,Air Jordan 1 Low,Chicago,VNDS (Very Near Deadstock),138,174.97,kick hub 2026,30,36.97
TRX-100830,2023-08-26,Air Jordan 3 Retro,Bred,Used,209,148.63,Stadium Goods,33,-60.370000000000005
TRX-100831,2024-09-16,Air Jordan 1 Low,Lost & Found,Deadstock (Brand New),129,380.21,StockX,8,251.20999999999998
TRX-100832,2024-05-02,Air Jordan 1 High,Concord,VNDS (Very Near Deadstock),171,246.3,StockX,5,75.30000000000001
TRX-100833,2025-06-24,Air Jordan 11 Retro,Black Cat,Used,229,116.62,Walk-in Retail,35,-112.38
TRX-100834,2023-08-31,Air Jordan 1 High,Lost & Found,Deadstock (Brand New),189,592.04,GOAT,5,403.03999999999996
TRX-100835,2025-05-14,Air Jordan 3 Retro,Sail,VNDS (Very Near Deadstock),202,210.68,StockX,14,8.680000000000007
TRX-100836,2024-09-15,Air Jordan 11 Retro,Sail,Deadstock (Brand New),230,778.52,StockX,6,548.52
TRX-100837,2023-04-23,Air Jordan 1 Low,Black Cat,Deadstock (Brand New),116,335.39,Walk-in Retail,21,219.39
TRX-100838,2024-06-21,Air Jordan 4 Retro,Lost & Found,VNDS (Very Near Deadstock),221,235.45,Stadium Goods,19,14.449999999999989
TRX-100839,2023-05-25,Air Jordan 4 Retro,Mocha,Deadstock (Brand New),214,397.6,Walk-in Retail,49,183.60000000000002
TRX-100840,2025-01-21,Air Jordan 1 High,Black Cat,VNDS (Very Near Deadstock),170,196.21,StockX,2,26.210000000000008
TRX-100841,2024-08-28,Air Jordan 1 High,Mocha,Deadstock (Brand New),182,630.01,GOAT,13,448.01
TRX-100842,2023-05-15,Air Jordan 1 Low,Military Blue,VNDS (Very Near Deadstock),138,154.55,StockX,3,16.55000000000001
TRX-100843,2023-11-19,Air Jordan 11 Retro,Sail,Used,227,124.02,GOAT,10,-102.98
TRX-100844,2024-02-07,Air Jordan 4 Retro,Black Cat,Used,211,112.6,Stadium Goods,56,-98.4
TRX-100845,2023-02-10,Air Jordan 11 Retro,Concord,Used,230,170.43,Stadium Goods,13,-59.56999999999999
TRX-100846,2025-09-07,Air Jordan 3 Retro,Pine Green,VNDS (Very Near Deadstock),207,200.1,Stadium Goods,38,-6.900000000000006
TRX-100847,2023-04-02,Air Jordan 1 Low,Pine Green,VNDS (Very Near Deadstock),113,145.31,kick hub 2026,36,32.31
TRX-100848,2025-02-05,Air Jordan 1 High,Black Cat,VNDS (Very Near Deadstock),183,263.9,GOAT,10,80.89999999999998
TRX-100849,2023-08-30,Air Jordan 1 Low,Concord,Deadstock (Brand New),125,169.61,kick hub 2026,23,44.610000000000014
TRX-100850,2025-01-04,Air Jordan 4 Retro,Bred,Deadstock (Brand New),220,642.09,GOAT,14,422.09000000000003
TRX-100851,2024-04-04,Air Jordan 1 High,Lost & Found,Deadstock (Brand New),180,380.31,Walk-in Retail,45,200.31
TRX-100852,2024-01-06,Air Jordan 1 Low,Sail,Used,139,92.92,Walk-in Retail,23,-46.08
TRX-100853,2023-01-26,Air Jordan 4 Retro,Black Cat,Deadstock (Brand New),222,390.74,StockX,7,168.74
TRX-100854,2023-02-26,Air Jordan 1 Low,Mocha,Used,122,98.25,Stadium Goods,37,-23.75
TRX-100855,2023-10-10,Air Jordan 1 Low,Mocha,Used,112,60.85,kick hub 2026,51,-51.15
TRX-100856,2023-06-12,Air Jordan 1 Low,Mocha,Deadstock (Brand New),117,331.44,kick hub 2026,38,214.44
TRX-100857,2023-02-02,Air Jordan 1 Low,Lost & Found,Used,132,104.4,kick hub 2026,33,-27.599999999999994
TRX-100858,2025-01-13,Air Jordan 1 High,Mocha,VNDS (Very Near Deadstock),171,207.81,kick hub 2026,10,36.81
TRX-100859,2024-09-07,Air Jordan 1 High,Black Cat,Deadstock (Brand New),178,464.29,StockX,8,286.29
TRX-100860,2023-01-30,Air Jordan 3 Retro,Concord,Used,200,122.49,GOAT,13,-77.51
TRX-100861,2024-09-09,Air Jordan 3 Retro,Sail,Deadstock (Brand New),201,470.09,Walk-in Retail,6,269.09
TRX-100862,2025-02-21,Air Jordan 1 Low,Concord,VNDS (Very Near Deadstock),131,185.46,kick hub 2026,19,54.46000000000001
TRX-100863,2024-01-10,Air Jordan 3 Retro,Black Cat,Deadstock (Brand New),205,503.88,kick hub 2026,55,298.88
TRX-100864,2023-08-24,Air Jordan 4 Retro,Lost & Found,Used,216,108.07,kick hub 2026,20,-107.93
TRX-100865,2024-02-19,Air Jordan 4 Retro,Sail,Used,222,123.09,Stadium Goods,51,-98.91
TRX-100866,2024-08-17,Air Jordan 3 Retro,Black Cat,VNDS (Very Near Deadstock),203,284.11,Walk-in Retail,56,81.11000000000001
TRX-100867,2023-09-23,Air Jordan 4 Retro,Concord,VNDS (Very Near Deadstock),211,210.7,kick hub 2026,24,-0.30000000000001137
TRX-100868,2024-04-16,Air Jordan 1 High,Lost & Found,Used,183,123.85,GOAT,12,-59.150000000000006
TRX-100869,2025-02-28,Air Jordan 4 Retro,Concord,Deadstock (Brand New),212,274.39,Stadium Goods,34,62.389999999999986
TRX-100870,2025-08-06,Air Jordan 11 Retro,Black Cat,Used,227,115.99,GOAT,7,-111.01
TRX-100871,2025-09-26,Air Jordan 1 High,Bred,Deadstock (Brand New),173,253.57,GOAT,12,80.57
TRX-100872,2023-10-23,Air Jordan 4 Retro,Concord,Deadstock (Brand New),219,589.67,kick hub 2026,51,370.66999999999996
TRX-100873,2024-04-28,Air Jordan 3 Retro,Pine Green,Used,207,135.91,Walk-in Retail,46,-71.09
TRX-100874,2023-08-19,Air Jordan 1 High,Bred,Used,187,137.99,StockX,6,-49.00999999999999
TRX-100875,2024-08-28,Air Jordan 1 High,Lost & Found,Deadstock (Brand New),190,557.01,Walk-in Retail,28,367.01
TRX-100876,2024-04-28,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),213,229.65,StockX,14,16.650000000000006
TRX-100877,2023-02-21,Air Jordan 3 Retro,Concord,VNDS (Very Near Deadstock),205,203.42,GOAT,13,-1.5800000000000125
TRX-100878,2025-05-11,Air Jordan 11 Retro,Lost & Found,Deadstock (Brand New),230,618.22,Walk-in Retail,60,388.22
TRX-100879,2025-05-10,Air Jordan 1 Low,Pine Green,Deadstock (Brand New),112,338.53,kick hub 2026,20,226.52999999999997
TRX-100880,2025-08-13,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),229,320.87,Walk-in Retail,10,91.87
TRX-100881,2023-12-21,Air Jordan 11 Retro,Sail,Used,229,159.23,Stadium Goods,32,-69.77000000000001
TRX-100882,2023-11-04,Air Jordan 1 Low,Bred,Deadstock (Brand New),113,315.53,kick hub 2026,26,202.52999999999997
TRX-100883,2023-09-20,Air Jordan 1 High,Chicago,Deadstock (Brand New),189,577.56,GOAT,3,388.55999999999995
TRX-100884,2025-07-05,Air Jordan 1 High,Chicago,Deadstock (Brand New),174,463.03,Stadium Goods,26,289.03
TRX-100885,2025-07-21,Air Jordan 1 High,Military Blue,Used,186,94.02,kick hub 2026,52,-91.98
TRX-100886,2024-10-02,Air Jordan 4 Retro,Concord,Used,222,136.28,StockX,5,-85.72
TRX-100887,2024-01-18,Air Jordan 11 Retro,Chicago,VNDS (Very Near Deadstock),228,261.22,StockX,1,33.22000000000003
TRX-100888,2024-02-23,Air Jordan 4 Retro,Black Cat,Deadstock (Brand New),212,295.59,StockX,9,83.58999999999997
TRX-100889,2024-06-30,Air Jordan 1 Low,Mocha,VNDS (Very Near Deadstock),136,183.02,Stadium Goods,37,47.02000000000001
TRX-100890,2025-08-30,Air Jordan 4 Retro,Military Blue,Used,223,128.78,GOAT,6,-94.22
TRX-100891,2024-10-04,Air Jordan 3 Retro,Concord,Used,203,172.41,StockX,1,-30.590000000000003
TRX-100892,2023-04-18,Air Jordan 4 Retro,Military Blue,VNDS (Very Near Deadstock),218,200.58,kick hub 2026,51,-17.419999999999987
TRX-100893,2023-10-10,Air Jordan 1 High,Sail,Deadstock (Brand New),177,489.38,Walk-in Retail,40,312.38
TRX-100894,2023-01-21,Air Jordan 1 High,Lost & Found,Deadstock (Brand New),181,414.94,Stadium Goods,26,233.94
TRX-100895,2023-09-19,Air Jordan 1 High,Military Blue,VNDS (Very Near Deadstock),184,194.99,GOAT,7,10.990000000000009
TRX-100896,2023-01-01,Air Jordan 4 Retro,Concord,VNDS (Very Near Deadstock),225,276.42,GOAT,6,51.420000000000016
TRX-100897,2023-12-27,Air Jordan 1 High,Concord,Used,174,92.21,GOAT,6,-81.79
TRX-100898,2024-05-30,Air Jordan 3 Retro,Lost & Found,Deadstock (Brand New),207,341.93,StockX,13,134.93
TRX-100899,2023-11-17,Air Jordan 3 Retro,Mocha,VNDS (Very Near Deadstock),204,220.0,StockX,12,16.0
TRX-100900,2025-07-05,Air Jordan 4 Retro,Mocha,Used,220,139.81,kick hub 2026,60,-80.19
TRX-100901,2023-01-26,Air Jordan 3 Retro,Mocha,Deadstock (Brand New),210,695.15,kick hub 2026,13,485.15
TRX-100902,2023-09-25,Air Jordan 1 Low,Military Blue,VNDS (Very Near Deadstock),121,159.67,GOAT,12,38.66999999999999
TRX-100903,2024-07-01,Air Jordan 11 Retro,Chicago,Used,225,133.95,Stadium Goods,49,-91.05000000000001
TRX-100904,2023-11-03,Air Jordan 4 Retro,Mocha,Deadstock (Brand New),224,742.3,Walk-in Retail,7,518.3
TRX-100905,2025-07-29,Air Jordan 1 High,Military Blue,Used,182,99.38,GOAT,12,-82.62
TRX-100906,2024-07-09,Air Jordan 4 Retro,Mocha,Deadstock (Brand New),213,271.86,kick hub 2026,51,58.860000000000014
TRX-100907,2024-01-08,Air Jordan 1 High,Mocha,Used,174,99.21,Stadium Goods,9,-74.79
TRX-100908,2023-01-18,Air Jordan 3 Retro,Bred,Used,208,118.01,kick hub 2026,39,-89.99
TRX-100909,2023-12-18,Air Jordan 1 Low,Military Blue,Used,139,72.22,StockX,2,-66.78
TRX-100910,2024-03-25,Air Jordan 3 Retro,Concord,VNDS (Very Near Deadstock),210,203.31,Walk-in Retail,45,-6.689999999999998
TRX-100911,2024-07-06,Air Jordan 1 High,Chicago,VNDS (Very Near Deadstock),170,174.94,Walk-in Retail,40,4.939999999999998
TRX-100912,2023-11-09,Air Jordan 1 Low,Black Cat,Deadstock (Brand New),132,203.24,GOAT,5,71.24000000000001
TRX-100913,2023-10-05,Air Jordan 3 Retro,Bred,Used,205,121.33,StockX,5,-83.67
TRX-100914,2024-12-17,Air Jordan 1 High,Black Cat,Used,170,99.51,GOAT,12,-70.49
TRX-100915,2024-11-06,Air Jordan 4 Retro,Pine Green,VNDS (Very Near Deadstock),225,222.66,Stadium Goods,46,-2.3400000000000034
TRX-100916,2024-01-15,Air Jordan 1 High,Bred,VNDS (Very Near Deadstock),172,244.7,GOAT,1,72.69999999999999
TRX-100917,2025-02-15,Air Jordan 11 Retro,Pine Green,VNDS (Very Near Deadstock),230,237.69,Stadium Goods,11,7.689999999999998
TRX-100918,2024-12-03,Air Jordan 11 Retro,Pine Green,Deadstock (Brand New),229,467.38,StockX,1,238.38
TRX-100919,2025-06-25,Air Jordan 3 Retro,Lost & Found,Deadstock (Brand New),207,666.53,Walk-in Retail,27,459.53
TRX-100920,2025-03-08,Air Jordan 1 Low,Concord,VNDS (Very Near Deadstock),131,193.95,Walk-in Retail,24,62.94999999999999
TRX-100921,2025-07-24,Air Jordan 1 Low,Mocha,Used,133,101.3,Stadium Goods,44,-31.700000000000003
TRX-100922,2025-09-05,Air Jordan 4 Retro,Military Blue,VNDS (Very Near Deadstock),223,322.92,GOAT,1,99.92000000000002
TRX-100923,2024-02-10,Air Jordan 4 Retro,Lost & Found,Deadstock (Brand New),217,376.23,GOAT,8,159.23000000000002
TRX-100924,2023-08-30,Air Jordan 11 Retro,Mocha,VNDS (Very Near Deadstock),225,222.05,kick hub 2026,5,-2.9499999999999886
TRX-100925,2025-06-29,Air Jordan 3 Retro,Concord,Deadstock (Brand New),204,389.4,Walk-in Retail,48,185.39999999999998
TRX-100926,2024-06-06,Air Jordan 11 Retro,Concord,Used,228,158.14,Stadium Goods,13,-69.86000000000001
TRX-100927,2024-05-08,Air Jordan 1 Low,Bred,VNDS (Very Near Deadstock),128,145.72,Walk-in Retail,30,17.72
TRX-100928,2025-02-06,Air Jordan 4 Retro,Mocha,Deadstock (Brand New),213,613.38,Stadium Goods,35,400.38
TRX-100929,2023-08-11,Air Jordan 3 Retro,Pine Green,Deadstock (Brand New),203,602.29,kick hub 2026,41,399.28999999999996
TRX-100930,2025-09-27,Air Jordan 1 Low,Chicago,VNDS (Very Near Deadstock),130,133.45,GOAT,14,3.4499999999999886
TRX-100931,2023-01-27,Air Jordan 11 Retro,Concord,VNDS (Very Near Deadstock),225,229.33,kick hub 2026,60,4.3300000000000125
TRX-100932,2025-07-19,Air Jordan 4 Retro,Pine Green,VNDS (Very Near Deadstock),210,249.61,kick hub 2026,12,39.610000000000014
TRX-100933,2025-09-05,Air Jordan 1 High,Mocha,Deadstock (Brand New),182,240.58,Stadium Goods,39,58.58000000000001
TRX-100934,2024-06-28,Air Jordan 1 Low,Pine Green,Used,138,100.38,Stadium Goods,10,-37.620000000000005
TRX-100935,2023-03-03,Air Jordan 11 Retro,Concord,VNDS (Very Near Deadstock),229,304.19,kick hub 2026,60,75.19
TRX-100936,2023-03-06,Air Jordan 1 Low,Military Blue,Deadstock (Brand New),137,401.55,GOAT,5,264.55
TRX-100937,2023-04-26,Air Jordan 1 High,Lost & Found,VNDS (Very Near Deadstock),176,250.11,kick hub 2026,23,74.11000000000001
TRX-100938,2024-03-17,Air Jordan 3 Retro,Lost & Found,Deadstock (Brand New),203,282.89,GOAT,6,79.88999999999999
TRX-100939,2023-06-30,Air Jordan 4 Retro,Concord,VNDS (Very Near Deadstock),219,207.84,StockX,13,-11.159999999999997
TRX-100940,2023-05-29,Air Jordan 1 High,Military Blue,VNDS (Very Near Deadstock),186,258.11,GOAT,14,72.11000000000001
TRX-100941,2024-09-17,Air Jordan 1 Low,Sail,VNDS (Very Near Deadstock),137,186.15,kick hub 2026,21,49.150000000000006
TRX-100942,2023-04-10,Air Jordan 4 Retro,Black Cat,Used,224,171.77,GOAT,7,-52.22999999999999
TRX-100943,2025-06-11,Air Jordan 1 High,Black Cat,Used,179,109.94,StockX,13,-69.06
TRX-100944,2025-02-05,Air Jordan 1 High,Chicago,VNDS (Very Near Deadstock),181,247.9,Walk-in Retail,46,66.9
TRX-100945,2024-05-06,Air Jordan 1 High,Mocha,VNDS (Very Near Deadstock),175,242.78,Stadium Goods,5,67.78
TRX-100946,2025-05-07,Air Jordan 11 Retro,Lost & Found,Used,229,193.44,kick hub 2026,11,-35.56
TRX-100947,2024-07-14,Air Jordan 11 Retro,Black Cat,Deadstock (Brand New),226,529.21,StockX,3,303.21000000000004
TRX-100948,2023-08-02,Air Jordan 1 Low,Sail,Used,118,78.42,StockX,7,-39.58
TRX-100949,2023-11-18,Air Jordan 4 Retro,Lost & Found,Deadstock (Brand New),219,737.93,Walk-in Retail,18,518.93
TRX-100950,2024-06-05,Air Jordan 1 High,Black Cat,VNDS (Very Near Deadstock),182,251.01,kick hub 2026,48,69.00999999999999
TRX-100951,2023-12-24,Air Jordan 4 Retro,Sail,VNDS (Very Near Deadstock),212,233.47,Walk-in Retail,12,21.47
TRX-100952,2024-05-13,Air Jordan 11 Retro,Military Blue,VNDS (Very Near Deadstock),225,227.52,Walk-in Retail,22,2.5200000000000102
TRX-100953,2024-09-16,Air Jordan 1 High,Mocha,Used,181,104.83,Stadium Goods,49,-76.17
TRX-100954,2024-12-19,Air Jordan 4 Retro,Lost & Found,VNDS (Very Near Deadstock),217,280.12,GOAT,13,63.120000000000005
TRX-100955,2025-06-17,Air Jordan 1 High,Mocha,VNDS (Very Near Deadstock),190,204.0,GOAT,12,14.0
TRX-100956,2023-08-22,Air Jordan 4 Retro,Bred,VNDS (Very Near Deadstock),211,222.29,StockX,7,11.289999999999992
TRX-100957,2023-02-22,Air Jordan 4 Retro,Bred,Deadstock (Brand New),218,665.84,Stadium Goods,53,447.84000000000003
TRX-100958,2023-08-26,Air Jordan 3 Retro,Military Blue,Used,207,143.61,Stadium Goods,34,-63.389999999999986
TRX-100959,2025-02-01,Air Jordan 11 Retro,Pine Green,Deadstock (Brand New),230,751.03,StockX,6,521.03
TRX-100960,2023-09-11,Air Jordan 1 Low,Pine Green,Deadstock (Brand New),138,353.01,Walk-in Retail,15,215.01
TRX-100961,2024-08-03,Air Jordan 11 Retro,Pine Green,Used,227,116.85,StockX,9,-110.15
TRX-100962,2023-04-21,Air Jordan 11 Retro,Lost & Found,VNDS (Very Near Deadstock),230,210.33,Stadium Goods,60,-19.669999999999987
TRX-100963,2023-05-30,Air Jordan 1 High,Black Cat,VNDS (Very Near Deadstock),172,252.96,kick hub 2026,58,80.96000000000001
TRX-100964,2024-01-24,Air Jordan 3 Retro,Sail,VNDS (Very Near Deadstock),200,222.22,GOAT,9,22.22
TRX-100965,2023-06-14,Air Jordan 1 High,Pine Green,Used,186,131.51,StockX,6,-54.49000000000001
TRX-100966,2025-04-16,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),225,259.14,StockX,14,34.139999999999986
TRX-100967,2023-07-17,Air Jordan 1 Low,Bred,Deadstock (Brand New),127,339.82,Walk-in Retail,53,212.82
TRX-100968,2023-08-01,Air Jordan 4 Retro,Military Blue,Deadstock (Brand New),214,587.53,kick hub 2026,20,373.53
TRX-100969,2025-02-08,Air Jordan 4 Retro,Sail,Deadstock (Brand New),223,770.63,GOAT,6,547.63
TRX-100970,2023-06-01,Air Jordan 3 Retro,Concord,VNDS (Very Near Deadstock),204,210.86,GOAT,4,6.860000000000014
TRX-100971,2025-04-26,Air Jordan 1 Low,Military Blue,VNDS (Very Near Deadstock),125,119.2,StockX,5,-5.799999999999997
TRX-100972,2025-07-15,Air Jordan 3 Retro,Military Blue,VNDS (Very Near Deadstock),209,197.58,GOAT,2,-11.419999999999987
TRX-100973,2024-08-03,Air Jordan 4 Retro,Mocha,Used,210,161.75,Stadium Goods,22,-48.25
TRX-100974,2025-04-16,Air Jordan 11 Retro,Bred,Used,229,132.16,GOAT,9,-96.84
TRX-100975,2024-03-30,Air Jordan 1 Low,Pine Green,Used,121,82.66,StockX,12,-38.34
TRX-100976,2023-01-25,Air Jordan 3 Retro,Mocha,VNDS (Very Near Deadstock),209,191.29,Stadium Goods,9,-17.710000000000008
TRX-100977,2023-12-29,Air Jordan 4 Retro,Mocha,Used,225,178.75,GOAT,3,-46.25
TRX-100978,2023-06-07,Air Jordan 11 Retro,Pine Green,Used,230,127.01,kick hub 2026,47,-102.99
TRX-100979,2025-08-20,Air Jordan 1 Low,Sail,VNDS (Very Near Deadstock),110,118.22,kick hub 2026,45,8.219999999999999
TRX-100980,2023-02-04,Air Jordan 1 Low,Chicago,Deadstock (Brand New),118,199.2,Stadium Goods,60,81.19999999999999
TRX-100981,2023-12-22,Air Jordan 3 Retro,Black Cat,VNDS (Very Near Deadstock),205,221.63,Stadium Goods,10,16.629999999999995
TRX-100982,2024-03-13,Air Jordan 4 Retro,Sail,Deadstock (Brand New),213,502.81,GOAT,9,289.81
TRX-100983,2024-03-21,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),225,246.16,Stadium Goods,44,21.159999999999997
TRX-100984,2024-08-25,Air Jordan 1 High,Lost & Found,VNDS (Very Near Deadstock),173,185.54,GOAT,5,12.539999999999992
TRX-100985,2024-08-02,Air Jordan 4 Retro,Bred,Used,220,145.04,GOAT,10,-74.96000000000001
TRX-100986,2025-04-01,Air Jordan 1 Low,Concord,Deadstock (Brand New),136,329.57,GOAT,6,193.57
TRX-100987,2023-01-25,Air Jordan 3 Retro,Mocha,VNDS (Very Near Deadstock),202,262.12,kick hub 2026,6,60.120000000000005
TRX-100988,2025-04-11,Air Jordan 11 Retro,Mocha,Used,229,124.17,kick hub 2026,25,-104.83
TRX-100989,2025-07-10,Air Jordan 1 Low,Sail,Deadstock (Brand New),112,142.1,StockX,13,30.099999999999994
TRX-100990,2023-12-17,Air Jordan 11 Retro,Concord,Deadstock (Brand New),228,330.13,kick hub 2026,28,102.13
TRX-100991,2024-05-26,Air Jordan 11 Retro,Sail,VNDS (Very Near Deadstock),225,270.9,Walk-in Retail,34,45.89999999999998
TRX-100992,2024-07-09,Air Jordan 11 Retro,Mocha,Used,228,121.79,Walk-in Retail,47,-106.21
TRX-100993,2024-12-24,Air Jordan 11 Retro,Pine Green,Used,230,175.82,StockX,14,-54.18000000000001
TRX-100994,2023-09-13,Air Jordan 11 Retro,Bred,VNDS (Very Near Deadstock),230,288.69,StockX,4,58.69
TRX-100995,2023-09-14,Air Jordan 4 Retro,Lost & Found,Used,218,138.16,kick hub 2026,18,-79.84
TRX-100996,2025-08-13,Air Jordan 11 Retro,Black Cat,Deadstock (Brand New),228,763.09,StockX,9,535.09
TRX-100997,2023-06-14,Air Jordan 3 Retro,Pine Green,VNDS (Very Near Deadstock),203,283.3,StockX,13,80.30000000000001
TRX-100998,2024-03-06,Air Jordan 4 Retro,Bred,VNDS (Very Near Deadstock),222,292.74,Walk-in Retail,18,70.74000000000001
TRX-100999,2023-09-02,Air Jordan 1 Low,Pine Green,Used,137,116.52,Walk-in Retail,20,-20.480000000000004
TRX-101000,2024-09-29,Air Jordan 3 Retro,Lost & Found,Used,203,110.22,kick hub 2026,25,-92.78
TRX-101001,2024-10-30,Air Jordan 11 Retro,Chicago,Used,226,155.35,Stadium Goods,43,-70.65
TRX-101002,2024-05-22,Air Jordan 3 Retro,Military Blue,Deadstock (Brand New),204,627.41,GOAT,3,423.40999999999997
TRX-101003,2023-01-27,Air Jordan 11 Retro,Mocha,Deadstock (Brand New),228,370.14,kick hub 2026,32,142.14
TRX-101004,2024-08-17,Air Jordan 1 Low,Sail,Deadstock (Brand New),120,284.25,StockX,3,164.25
TRX-101005,2024-08-13,Air Jordan 4 Retro,Lost & Found,Deadstock (Brand New),214,306.86,GOAT,7,92.86000000000001
TRX-101006,2023-12-02,Air Jordan 11 Retro,Mocha,Used,227,135.19,Walk-in Retail,43,-91.81
TRX-101007,2024-01-29,Air Jordan 11 Retro,Lost & Found,VNDS (Very Near Deadstock),225,205.49,kick hub 2026,44,-19.50999999999999
TRX-101008,2024-05-13,Air Jordan 1 Low,Black Cat,VNDS (Very Near Deadstock),133,173.29,StockX,7,40.28999999999999
TRX-101009,2024-10-02,Air Jordan 1 Low,Military Blue,VNDS (Very Near Deadstock),136,181.35,Walk-in Retail,35,45.349999999999994
TRX-101010,2024-04-27,Air Jordan 4 Retro,Concord,VNDS (Very Near Deadstock),222,283.51,GOAT,5,61.50999999999999
TRX-101011,2023-02-05,Air Jordan 1 High,Bred,VNDS (Very Near Deadstock),187,272.74,GOAT,9,85.74000000000001
TRX-101012,2024-02-12,Air Jordan 1 High,Pine Green,VNDS (Very Near Deadstock),179,169.7,kick hub 2026,36,-9.300000000000011
TRX-101013,2024-08-11,Air Jordan 3 Retro,Lost & Found,Used,203,157.43,GOAT,7,-45.56999999999999
TRX-101014,2024-04-29,Air Jordan 1 High,Sail,Used,188,118.13,Walk-in Retail,44,-69.87
TRX-101015,2023-10-16,Air Jordan 11 Retro,Military Blue,VNDS (Very Near Deadstock),230,264.72,GOAT,9,34.72000000000003
TRX-101016,2025-08-03,Air Jordan 1 High,Black Cat,Used,182,119.36,Walk-in Retail,49,-62.64
TRX-101017,2023-12-08,Air Jordan 3 Retro,Lost & Found,Used,208,166.81,StockX,10,-41.19
TRX-101018,2023-09-28,Air Jordan 11 Retro,Sail,Used,225,199.04,GOAT,4,-25.960000000000008
TRX-101019,2025-01-09,Air Jordan 3 Retro,Pine Green,Used,210,180.94,kick hub 2026,14,-29.060000000000002
TRX-101020,2024-01-31,Air Jordan 11 Retro,Pine Green,Deadstock (Brand New),225,447.2,GOAT,14,222.2
TRX-101021,2024-12-13,Air Jordan 1 High,Pine Green,Used,190,131.35,GOAT,4,-58.650000000000006
TRX-101022,2023-04-26,Air Jordan 11 Retro,Lost & Found,Deadstock (Brand New),229,650.99,Stadium Goods,24,421.99
TRX-101023,2024-05-26,Air Jordan 1 High,Chicago,VNDS (Very Near Deadstock),171,162.11,StockX,5,-8.889999999999986
TRX-101024,2023-05-12,Air Jordan 3 Retro,Bred,VNDS (Very Near Deadstock),201,197.1,GOAT,10,-3.9000000000000057
TRX-101025,2024-06-20,Air Jordan 4 Retro,Bred,Used,210,177.47,GOAT,14,-32.53
TRX-101026,2024-07-24,Air Jordan 1 Low,Sail,Used,132,71.91,Walk-in Retail,43,-60.09
TRX-101027,2024-09-18,Air Jordan 3 Retro,Military Blue,VNDS (Very Near Deadstock),200,251.34,Walk-in Retail,48,51.34
TRX-101028,2023-01-28,Air Jordan 4 Retro,Black Cat,VNDS (Very Near Deadstock),216,316.22,StockX,7,100.22000000000003
TRX-101029,2024-07-20,Air Jordan 4 Retro,Chicago,VNDS (Very Near Deadstock),222,313.17,Walk-in Retail,32,91.17000000000002
TRX-101030,2023-04-02,Air Jordan 11 Retro,Mocha,VNDS (Very Near Deadstock),227,222.08,StockX,13,-4.9199999999999875
TRX-101031,2023-12-24,Air Jordan 1 High,Military Blue,Used,175,145.65,kick hub 2026,31,-29.349999999999994
TRX-101032,2023-12-13,Air Jordan 3 Retro,Military Blue,Deadstock (Brand New),208,594.01,Stadium Goods,50,386.01
TRX-101033,2023-06-07,Air Jordan 1 Low,Lost & Found,VNDS (Very Near Deadstock),112,104.44,kick hub 2026,47,-7.560000000000002
TRX-101034,2025-03-31,Air Jordan 11 Retro,Chicago,Used,225,135.81,kick hub 2026,54,-89.19
TRX-101035,2024-09-07,Air Jordan 4 Retro,Pine Green,Used,221,180.73,StockX,9,-40.27000000000001
TRX-101036,2024-10-11,Air Jordan 11 Retro,Concord,Used,226,154.71,Walk-in Retail,8,-71.28999999999999
TRX-101037,2023-09-23,Air Jordan 1 High,Black Cat,Deadstock (Brand New),186,607.91,Stadium Goods,42,421.90999999999997
TRX-101038,2023-07-20,Air Jordan 1 High,Chicago,VNDS (Very Near Deadstock),184,239.73,Stadium Goods,19,55.72999999999999
TRX-101039,2024-11-11,Air Jordan 1 Low,Chicago,Used,132,113.82,Stadium Goods,57,-18.180000000000007
TRX-101040,2024-01-26,Air Jordan 1 Low,Concord,VNDS (Very Near Deadstock),123,132.29,Walk-in Retail,38,9.289999999999992
TRX-101041,2024-04-07,Air Jordan 11 Retro,Pine Green,Used,230,177.49,StockX,1,-52.50999999999999
TRX-101042,2023-05-02,Air Jordan 1 High,Lost & Found,Deadstock (Brand New),190,412.56,GOAT,14,222.56
TRX-101043,2024-10-12,Air Jordan 1 High,Military Blue,Used,188,137.75,Walk-in Retail,7,-50.25
TRX-101044,2024-05-22,Air Jordan 11 Retro,Mocha,Deadstock (Brand New),227,479.87,Walk-in Retail,46,252.87
TRX-101045,2025-06-11,Air Jordan 4 Retro,Mocha,Deadstock (Brand New),210,502.23,Walk-in Retail,30,292.23
TRX-101046,2025-01-13,Air Jordan 1 High,Black Cat,VNDS (Very Near Deadstock),180,162.56,GOAT,3,-17.439999999999998
TRX-101047,2024-05-25,Air Jordan 1 High,Lost & Found,VNDS (Very Near Deadstock),187,243.5,Stadium Goods,7,56.5
